Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Witches Are Coming,Lindy West,Lindy West (Narrator),9781549142857,audio,read,2025/03/14,2025/03/16,2025/03/13-2025/03/16,1.0,"challenging, emotional, funny, hopeful, informative, inspiring, reflective",medium,,,,,,5.0,,,,,Yes,1
The Ones We Burn,Rebecca Mix,,9781534493513,hardcover,to-read,2025/07/20,,,0.0,,,,,,,,,,,,,No,1
The Seventh Veil of Salome,Silvia Moreno-Garcia,,9780593600269,hardcover,read,2025/01/18,2025/01/17,2025/01/01-2025/01/17,1.0,"adventurous, challenging, emotional, hopeful, informative, inspiring, reflective, sad, tense",fast,A mix,Yes,Yes,Yes,Yes,5.0,,,,,Yes,1
If Something Happens to Me,Alex Finlay,"Helen Laser (Narrator), Paul Dateh (Narrator), John Pirhalla (Narrator)",9781250347725,audio,read,2025/08/21,2025/08/23,2025/08/21-2025/08/23,1.0,"challenging, dark, emotional, mysterious, sad, tense",medium,A mix,No,It's complicated,No,It's complicated,3.75,"<div>I can usually predict the end of a thriller or mystery about 1/2 way in, and I was genuinely surprised at the direction this took. The beginning is a bit slow, but if you stick with it the plot picks up about 50% in.</div>",,,,No,1
Lovelight Farms,B.K. Borison,,9780593641118,paperback,paused,2025/12/12,,,0.0,,,,,,,,,,,,,No,1
"Shit, Actually: The Definitive, 100% Objective Guide to Modern Cinema",Lindy West,Lindy West (Narrator),9781549186288,audio,read,2025/03/17,2025/07/31,"2025/07/30-2025/07/31, 2025/03/16-2025/03/18",2.0,"funny, lighthearted",fast,,,,,,5.0,,,,,Yes,1
Hidden Figures,Margot Lee Shetterly,Robin Miles (Narrator),9781441709707,audio,paused,2026/01/26,,,0.0,,,,,,,,,,,,,No,1
A History of Wild Places,Shea Ernshaw,,9781982164805,hardcover,read,2025/09/30,,,1.0,,,,,,,,,,,,,No,1
Weyward,Emilia Hart,,9781250842725,paperback,to-read,2025/02/04,,,0.0,,,,,,,,,,,,,Yes,1
Anita de Monte Laughs Last,Xochitl Gonzalez,,9781250786210,hardcover,did-not-finish,2025/03/26,,,0.0,,,,,,,,,,,,,No,1
Red Rising,Pierce Brown,,9780345539786,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
Dreaming in Cuban,Cristina García,,9780345381439,paperback,to-read,2025/01/21,,,0.0,,,,,,,,,,,,,No,1
